id,name,admin,str,on_off,dest_id,dest_ac,sou1_id,sou1_ac,sou2_id,sou2_ac,type,reuse_plan,div_type,opr_loss,limit,io_beg,io_end,reservoir_id
TROGARCO.02a,TROGARCOtoSpinneyAPR,4565.00001,-14,1,2304013,3,2302911_Pln,100,SpinDRF_11,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.02b,TROGARCOtoSpinneyMAY,4565.00001,-14,1,2304013,3,2302911_Pln,100,SpinDRF_17,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.02c,TROGARCOtoSpinneyJUN,4565.00001,-14,1,2304013,3,2302911_Pln,100,SpinDRF_16,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.02d,TROGARCOtoSpinneyJUL,4565.00001,-14,1,2304013,3,2302911_Pln,100,SpinDRF_16,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.02e,TROGARCOtoSpinneyAUG,4565.00001,-14,1,2304013,3,2302911_Pln,100,SpinDRF_21,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.03a,TROGARCOtoAurora_IN_APR,4565.00002,-15,1,08_Aurora_I,1,2302911_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.03b,TROGARCOtoAurora_IN_MAY,4565.00002,-15,1,08_Aurora_I,1,2302911_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.03c,TROGARCOtoAurora_IN_JUN,4565.00002,-15,1,08_Aurora_I,1,2302911_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.03d,TROGARCOtoAurora_IN_JUL,4565.00002,-15,1,08_Aurora_I,1,2302911_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.03e,TROGARCOtoAurora_IN_AUG,4565.00002,-15,1,08_Aurora_I,1,2302911_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.04a,TROGARCOtoAurora_OUT_APR,4565.00003,-15,1,08_Aurora_O,1,2302911_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.04b,TROGARCOtoAurora_OUT_MAY,4565.00003,-15,1,08_Aurora_O,1,2302911_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.04c,TROGARCOtoAurora_OUT_JUN,4565.00003,-15,1,08_Aurora_O,1,2302911_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.04d,TROGARCOtoAurora_OUT_JUL,4565.00003,-15,1,08_Aurora_O,1,2302911_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
TROGARCO.04e,TROGARCOtoAurora_OUT_AUG,4565.00003,-15,1,08_Aurora_O,1,2302911_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302911_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.01,SPRBRNCO Changed Right 1,10774.00000,0,1,2302912_Pln,0,2302912.01,100,NA,1,26,NA,Diversion,0,0    19,90,9999 Direct Flow Pro-Rata Exc,2302912.01-100
0 0 0 47.6,49.2 35.7 49.2 79.9 53.6 0 0 0 315.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.02a,SPRBRNCOtoSpinneyAPR,10774.00001,-14,1,2304013,3,2302912_Pln,100,SpinDRF_11,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.02b,SPRBRNCOtoSpinneyMAY,10774.00001,-14,1,2304013,3,2302912_Pln,100,SpinDRF_17,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.02c,SPRBRNCOtoSpinneyJUN,10774.00001,-14,1,2304013,3,2302912_Pln,100,SpinDRF_16,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.02d,SPRBRNCOtoSpinneyJUL,10774.00001,-14,1,2304013,3,2302912_Pln,100,SpinDRF_16,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.02e,SPRBRNCOtoSpinneyAUG,10774.00001,-14,1,2304013,3,2302912_Pln,100,SpinDRF_21,2,27,USR_ResPln,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
0 0 0 89 83,84 84 79 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.03a,SPRBRNCOtoAurora_IN_APR,10774.00002,-15,1,08_Aurora_I,1,2302912_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.03b,SPRBRNCOtoAurora_IN_MAY,10774.00002,-15,1,08_Aurora_I,1,2302912_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.03c,SPRBRNCOtoAurora_IN_JUN,10774.00002,-15,1,08_Aurora_I,1,2302912_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 0 1,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.03d,SPRBRNCOtoAurora_IN_JUL,10774.00002,-15,1,08_Aurora_I,1,2302912_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 0 0,1 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.03e,SPRBRNCOtoAurora_IN_AUG,10774.00002,-15,1,08_Aurora_I,1,2302912_Pln,100,NA,1,27,MetroAur,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 0 0,0 1 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.04a,SPRBRNCOtoAurora_OUT_APR,10774.00003,-15,1,08_Aurora_O,1,2302912_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 1 0 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.04b,SPRBRNCOtoAurora_OUT_MAY,10774.00003,-15,1,08_Aurora_O,1,2302912_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
0 0 0 0 1 0,0 0 0 0 0 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
SPRBRNCO.04c,SPRBRNCOtoAurora_OUT_JUN,10774.00003,-15,1,08_Aurora_O,1,2302912_Pln,100,NA,1,27,NA,Diversion,-1,5    19,90,9999 Accounting Plan to Deman,2302912_Pln-100
